arquitectura,neuronas_totales,capas_ocultas,activacion,learning_rate,accuracy_final,loss_final
"[64, 32]",96,2,relu,0.01,1.0,0.0745
"[64, 32]",96,2,relu,0.05,1.0,0.0033
"[64, 32]",96,2,relu,0.1,1.0,0.0013
"[64, 32]",96,2,relu,0.5,1.0,0.0002
"[64, 32]",96,2,tanh,0.01,1.0,0.0489
"[64, 32]",96,2,tanh,0.05,1.0,0.0046
"[64, 32]",96,2,tanh,0.1,1.0,0.002
"[64, 32]",96,2,tanh,0.5,1.0,0.0003
"[64, 32]",96,2,sigmoid,0.5,1.0,0.0033
"[64, 32]",96,2,sigmoid,0.1,1.0,0.1441
"[128, 64]",192,2,relu,0.05,1.0,0.003
"[128, 64]",192,2,relu,0.01,1.0,0.0456
"[128, 64]",192,2,relu,0.1,1.0,0.0012
"[128, 64]",192,2,relu,0.5,1.0,0.0002
"[128, 64]",192,2,tanh,0.05,1.0,0.0035
"[128, 64]",192,2,tanh,0.01,1.0,0.0351
"[512, 256, 128, 64]",960,4,sigmoid,0.5,1.0,0.008
"[512, 256, 128, 64]",960,4,tanh,0.5,1.0,0.0001
"[128, 64]",192,2,tanh,0.1,1.0,0.0015
"[128, 64]",192,2,tanh,0.5,1.0,0.0002
"[128, 64]",192,2,sigmoid,0.5,1.0,0.0029
"[128, 64]",192,2,sigmoid,0.1,1.0,0.1119
"[256, 128, 64]",448,3,relu,0.05,1.0,0.0011
"[256, 128, 64]",448,3,relu,0.01,1.0,0.0121
"[256, 128, 64]",448,3,tanh,0.01,1.0,0.0154
"[256, 128, 64]",448,3,tanh,0.05,1.0,0.0019
"[256, 128, 64]",448,3,relu,0.1,1.0,0.0004
"[256, 128, 64]",448,3,relu,0.5,1.0,0.0001
"[256, 128, 64]",448,3,tanh,0.1,1.0,0.0008
"[256, 128, 64]",448,3,tanh,0.5,1.0,0.0001
"[512, 256, 128, 64]",960,4,relu,0.1,1.0,0.0002
"[256, 128, 64]",448,3,sigmoid,0.5,1.0,0.0023
"[512, 256, 128, 64]",960,4,relu,0.5,1.0,0.0
"[512, 256, 128, 64]",960,4,tanh,0.1,1.0,0.0006
"[512, 256, 128, 64]",960,4,relu,0.05,1.0,0.0005
"[512, 256, 128, 64]",960,4,relu,0.01,1.0,0.0047
"[512, 256, 128, 64]",960,4,tanh,0.05,1.0,0.0014
"[512, 256, 128, 64]",960,4,tanh,0.01,1.0,0.0093
"[128, 64]",192,2,sigmoid,0.05,0.6786,1.062
"[64, 32]",96,2,sigmoid,0.05,0.6429,1.255
"[256, 128, 64]",448,3,sigmoid,0.1,0.4643,1.4023
"[64, 32]",96,2,sigmoid,0.01,0.25,1.7143
"[128, 64]",192,2,sigmoid,0.01,0.25,1.7074
"[256, 128, 64]",448,3,sigmoid,0.01,0.25,1.7378
"[256, 128, 64]",448,3,sigmoid,0.05,0.25,1.7186
"[512, 256, 128, 64]",960,4,sigmoid,0.01,0.25,1.7407
"[512, 256, 128, 64]",960,4,sigmoid,0.05,0.25,1.7396
"[512, 256, 128, 64]",960,4,sigmoid,0.1,0.25,1.7378
